station_number|department|battalion|lat|lon|station_name|address|city|state|zip|phone|fire_boxes|is_volunteer|density|Area Description|Primary Target Hazard Fire|Primary Target Hazard Non-Fire
414|Fairfax County Fire and Rescue Department|407|38.79286|-77.27145|Burke|9501 Old Burke Lake Road|Burke|VA|22015|703-978-9200|14|TRUE|Suburban|Fire Zone 414 is an urban zone of approximately 9.23 square miles within the 7 th Battalion that serves a population of 42,825. The zone consists of single-family homes, townhomes, schools, churches, and strip shopping centers. Zone 414 has a rehabilitation center, 3 and 4 story retirement homes. Fire Zone 414 runs automatic aid with Fairfax City.|Target Hazards in Fire Zone 414 include the Verizon building at 9419 Braddock Road which is a battery back-up facility for Verizon Communications. Burke Nursery and Garden Center at 9401 Burke Road which stocks a large supply of fertilizers and pesticides. At 5615 Guinea Road is Bowl America due to the amount of combustible surface area. Mixed-use commercial occupancies residing within Fire Zone 414 with their inherent fire spread issues.|Heatherwood Retirement Home, a three-story building with approximately 100 apartments. Burke Lake Gardens, a senior living apartment building four stories tall with approximately 120 apartments. Burke Lake Gardens, a primarily Asian community which along with their age, exists a language barrier. VRE Station which transports hundreds of commuters through the Burke area daily.
415|Fairfax County Fire and Rescue Department|403|38.89173|-77.43131|Chantilly|14005 Vernon Street|Chantilly|VA|20151|703-378-5353|14|FALSE|Suburban|Fire Zone 415 is an urban area of 12.9 square miles within the 3rd Battalion that serves a population of 29,995. The area consists of dense commercial structures, strip malls and big box type chain store. There is a mix of government facilities, home improvement centers, auto dealerships, auto body repair/paint shops, hotels, restaurants, and churches. Zone 415 has primarily Type-V single-family dwellings, townhomes, and open stairwell garden apartments.|UPS and FedEx facilities, Amazon server farm, Quest Diagnostics, Direct Cremation services of VA, Heavenly Paws Cremation, Cremation Society of Virginia, Nutrvavail Technologies, non-sprinkler strip shopping centers, Washington Dulles airport flight path.|NRO, Air Marshal Academy, Police Academy, FBI, CIA, DEA, Sully Plantation, World Bank, Aerospace, Westfield Marriott, Dulles Expo Center, Boeing, Northrop Grumman, Saint Timothy Catholic Church, Ahmadiyya Muslim Community, various churches.
416|Fairfax County Fire and Rescue Department|407|38.78061|-77.38557|Clifton|12645 Chapel Road|Clifton|VA|20124|703-830-1901|10|FALSE|Suburban|A rural area of 17.70 square miles within the 7th Battalion that serves a population of 5,777. The zone consists of houses that are typically on 5+ acre lots, many with barns and other out buildings. Several horse farms and other livestock facilities reside within the zone. 95% of the area is non-hydrant requiring the use of tankers, ponds, and dry hydrants for water sources. Zone 416 currently has 3 dry hydrants located near the town of Clifton, with two more scheduled to be installed in 2017, outside of town. Most roadways are narrow and winding with hills and valleys. The roads are used by commuters trying to cut off time which creates congestion in the town of Clifton and some smaller roads entering the county.|Large single-family homes with limited water supply.|Winding roads with narrow to no shoulders create risk for significant injury due to motor vehicle accidents. Occoquan Reservoir, Hemlock Overlook Regional Park, and Fountainhead Regional Park create still water hazard resulting in sustained rescue operations. Rail line within zone.
417|Fairfax County Fire and Rescue Department|403|38.83682|-77.42926|Centreville|5856 Old Centreville Road|Centreville|VA|20121|703-830-8280|14|TRUE|Suburban|Fire Zone 417 is an urban area of 15.29 square miles in the 3rd Battalion that serves a population of 52,750 on the western end of Fairfax County. The zone consists of predominantly Type-V single-family, open stairwell garden apartments, and townhomes. Commercial strip malls and stand-alone commercial buildings are spread out along State Rt.29 (Lee Highway) and State Rt. 28 (Sully Road).|Centreville High School enrolls over 2300 students that presents a large life hazard at emergency operations. Upper Occoquan Sewage Treatment Plant is a large industrial complex that has numerous technical rescue challenges and is a Tier II Haz Mat location. Colonial Pipeline is a major transmission line for both natural gas and petroleum products. Large number of Type-V apartments|Interstate I-66 is one of the major commuter routes to and from the Northern Virginia area. EMS and suppression emergencies on the interstate are both high risk and frequent.
418|Fairfax County Fire and Rescue Department|404|38.86545|-77.19277|Jefferson|3101 Hodge Place|Falls Church|VA|22042|703-573-4505|14|FALSE|Suburban|Fire Zone 418 is an urban zone of 5.15 square miles located in the 4th Battalion that serves a population of 27,490. The zone consists of multiple high-rise buildings of both residential and commercial, sprinklered and un-sprinklered. In addition, there is a large number of garden style apartments of Type III and V construction built from 1940-1970.|Un-sprinklered residential high-rise. Multiple commercial high[1]rises that include a hotel. Mixed-use commercial occupancies reside along Lee Highway and Arlington Blvd. Numerous garden style apartment complexes house a high population of this zone’s residents.|Vehicle accidents along I-495 and I-66 have the potential to be high speed collisions.
419|Fairfax County Fire and Rescue Department|406|38.70382|-77.21042|Lorton|7701 Armistead Road|Lorton|VA|22079|703-339-5141|11|TRUE|Suburban|Fire Zone 419 is an urban zone of 10.65 square miles located on the southern end of the 6th Battalion and serves a population of approximately 34,893. The zone consists of a mix of Type-III and Type-V, residential and commercial buildings. The residential units include single-family homes, garden style apartments, mid-rise condos and a large senior living complex with over 450 residential units. Commercial units include both commercial and medium industrial that are both sprinklered and un-sprinklered. Fire Zone 419 is bordered and runs automatic aid on the south by Prince William County, on the northeast with Fort Belvoir.|Housing on Hagel Circle and several garden style apartment occupancies reside on Lorton Road and Richmond Highway. Mixed-use commercial occupancies reside on Telegraph Road. The Covanta Fairfax - I-95 Energy/Resource Recovery Facility is located on Furnace Road along with the Fairfax County I-95 Landfill Complex. There are several industrial units using complex and hazardous chemicals such as Alexandria Metal Finishers located on Gunston Cove Road.|Motor vehicle accident dispatches on Interstate 95 and Richmond Highway. Requests for service at the rail stations for the Amtrak Auto Train and the Virginia Railway Express located on Lorton Road. Numerous emergency service requests for the retirement community located at The Fairfax at Belvoir Woods on Belvoir Woods Parkway.
420|Fairfax County Fire and Rescue Department|406|38.67372|-77.19412|Gunston|10417 Gunston Road|Lorton|VA|22079|703-339-5970|6|FALSE|Rural|Fire Zone 420 is a rural zone of approximately 20.70 square miles within the 6 th Battalion that serves a population of 2,461. The zone consists primarily of single-family dwellings that are on large lots of land. The lots can be as large as 50 acres thus causing the need for rural water operations for firefighting. The historic Gunston Hall Plantation is located within Fire Zone 420 as are several large parks. These parks include Pohick Bay Regional Park, Mason Neck State Park, and the Bureau of Land Management. Fire Zone 420 also has several miles of shoreline of the Potomac River.|Gunston Hall Mansion is a primary target hazard along with large single-family residences in excess of 5,000 square feet located throughout the Zone. The Zone also has Fairfax Yacht Club and Beach’s Marina that house numerous pleasure boats and yachts that also has limited access for firefighting. The majority of Zone 420 is non-hydrant.|The area is responsible for the maintenance and operation of the Fire Department’s Fire Boats which are docked at Pohick Bay Regional Park. Fairfax County’s Fire Boat responds from the Woodrow Wilson Bridge to Quantico Marina. Camp Wilson is a Boy Scout camp occupied throughout the year. Meadowood Recreation Area has miles of bike trails that pose limited access and ATV420 has been used to access patients for removal to transport units.
421|Fairfax County Fire and Rescue Department|403|38.87199|-77.37059|Fair Oaks|12300 Lee Jackson Memorial Highway|Fairfax|VA|22033|703-591-0247|22|TRUE|Urban|Demand Zone 421 is an urban zone of 10.41 square miles within the 2nd Battalion that serves a population of 40,699. The area consists of high-rise and mid-rise buildings and some high dollar residential communities. There are numerous Type-V multifamily garden apartment complexes both sprinklered and un-sprinklered.|Large number of Type-V Garden style apartments. Fair Oaks Mall, a 1.56 million square foot mall with five main anchor stores and approximately 160 shops.|Vehicle accidents on I-66 due to speed. Calls for EMS services at the three nursing homes within the First Due.
422|Fairfax County Fire and Rescue Department|405|38.76622|-77.18414|Springfield|7011 Backlick Road|Springfield|VA|22150|703-451-0120|11|TRUE|Suburban|Fire Zone 422 is an urban area of 6.22 square miles within the 5th Battalion and serves a population of 21,949. The area consists of a mix of residential, commercial, and light industrial structures. Millions of commuters and travelers pass through the zone on the interstates I-95/I-395/I-495. The area is growing at a steady pace with remodels, new construction. Zone 422 is adjacent to a U.S. Military facility that is an outpost of Fort Belvoir. Station runs automatic aid with Prince William County, City of Alexandria, and Fort Belvoir.|GSA warehouse, numerous strip malls/commercial strip buildings, and mid-rise/high-rise residential buildings.|Springfield Town Center, Greenspring Village, Interstate highways produce high speed vehicle accidents.
423|Fairfax County Fire and Rescue Department|404|38.83971|-77.25218|West Annandale|8914 Little River Turnpike|Fairfax|VA|22031|703-978-3340|19|TRUE|Suburban|Fire Zone 423 is an urban zone of 7.83 square miles within the 4th Battalion that serves a population of 26,214. The zone consists of Type-III and Type-V single-family dwellings, condominiums and rental apartments. There are three garden apartment complexes that are of Type III construction all built from 1960s-1970s. Northern Virginia Community College located at 8333 Little River Turnpike is heavily populated from 0800-2200 hours Monday-Friday by adult learners.|Pickett Road petroleum tank farm. Northern Virginia Community College (NVCC). W.T Woodson High School partially sprinklered / has standpipes.|Vehicle accidents along State Routes 236 and 620 have the potential for high speed collisions. Calls for emergency medical assistance in the various residential neighborhoods and at the Olley Glen Apartments. Woodburn Rd floods at Accotink Creek during sustained rains and poses a threat year-round.
424|Fairfax County Fire and Rescue Department|406|38.72178|-77.11916|Woodlawn|8701 Lukens Lane|Alexandria|VA|22309|703-780-0110|8|FALSE|Suburban|Fire Zone 424 is an urban area of 6.92 square miles within the 6th Battalion that serves a population of 24,582. The zone consists of Type V single-family homes and Type III and V garden style apartments. Commercial occupancies consist of low-rise office buildings, strip shopping centers, commercial townhouses, and stand-alone commercial structures. Increased weekday population with commuters to Fort Belvoir Military Base and visitors to George Washington’s Mount Vernon Estates.|George Washington’s Mount Vernon Estates, Woodlawn Plantation, and George Washington’s Gristmill. |George Washington’s Mount Vernon Estates’ annual attendance is over one million each year. Any terrorist or lone wolf event at the “Estates” could be significant. In addition, several passenger ships ferry visitors to the Estates via the Potomac River. With any river related event, Fire Zone 424 ground-based resources would arrive at the Mount Vernon Estates’ wharf before any Fairfax County or mutual aid water resources arrive.
425|Fairfax County Fire and Rescue Department|401|38.95085|-77.33545|Reston|1820 Wiehle Avenue|Reston|VA|20190|703-437-7575|13|FALSE|Urban|Demand Zone 425 is urban service area of 9.07 square miles within the 1st Battalion that serves a population of 29,794. The area consists of urban density high-rise areas to rural non-hydrant areas. The first phase of the Washington Metropolitan Area Transit Authority- Metro Silver line opened in 2015 and the second phase is currently underway creating development along the Dulles Toll Road corridor in proximity to the two Metro stations that will be within zone 425. The high-rise buildings consist of residential and commercial mixed-use buildings along with a large number of Type III and V garden style apartment buildings and large multi-unit apartment buildings. Fire Zone 425 is bordered by Zones 404, 431, 439, 434, 442, and 402.|Demand Zone 425 has multiple apartment buildings of all types. The Lake Anne Fellowship House on North Shore Drive are older buildings housing an elderly population. The Fellowship House, Sunrise, and Tall Oaks nursing homes. Many high-rise buildings with below grade parking garages and electrical transformers.|Calls for EMS assistance in our multiple residential buildings and numerous nursing homes and elderly residences. Embry Rucker Community Shelter on Bowman Towne Drive creates calls for medical assistance in addition to other lower income areas along North Shore Drive. Kaiser Permanente generates transport requests from their facility to Reston and other area hospitals. Reston Town Center hosts many community events, fairs, and races that make it a target hazard and Reston’s numerous lakes poses a year[1]round drowning and ice rescue threat. W&OD Trail utilized very heavily by bicyclists and pedestrians alike generating an increase in EMS calls annually for injured bicyclists, etc.
426|Fairfax County Fire and Rescue Department|405|38.80516|-77.17126|Edsall Road|5316 Carolina Place|Springfield|VA|22151|703-256-2236|11|FALSE|Suburban|Demand Zone 426 is an urban zone with approximately 5.90 square miles within the 5th Battalion that serves a population of 26,150. The zone consists of Type-III and Type-V single- family, garden style apartments and light industrial areas. It has one of the most complex highway systems in Fairfax County and the eastern seaboard. A 75% bedroom community with about 25 industrial, and 1 residential high-rise building (Towers of Morningside).|Public storage facility, Lerner Tower, PBS Public Broadcasting, Washington Gas facility, Vulcan Materials Company facility, and several retirement communities.|High speed vehicle accidents along I-395, I-495, I-95 and along Braddock Rd. Other roadway with a high potential for high speed collisions are Backlick Road, Edsall Road, and Little River Turnpike. Calls for emergency medical assistance often occur in residential areas. Calls for service from Leewood Nursing Home and Aarondale Retirement account for many incidents. Lake Accotink’s location within a neighborhood poses an ice rescue and drowning threat year[1]round
427|Fairfax County Fire and Rescue Department|405|38.78357|-77.23779|West Springfield|6140 Rolling Road|Springfield|VA|22152|703-451-0453|10|FALSE|Suburban|Fire Zone 427 is an urban area of 7.11 square miles within the 5th Battalion that serves a population of 32,675. The zone consists of primarily residential occupancies. Residential properties consist of single-family dwellings, Type-III and Type-V townhomes (over/under and piggyback) townhomes, garden style apartments and mid-rise residential buildings. Commercial occupancies consist of office buildings and strip shopping centers.|Washington Gas, Ravensworth Station Gas Mine, is an underground storage that can hold over 11,000,000 gallons of liquefied natural gas. Numerous townhomes increase risk due to number of occupants. The numerous units with unconventional arrangements, i.e.: piggybacks, over/under, can make accessing a fire more difficult.|Zone 427 can be considered a “Bedroom Community.” With the large number of commuters coming and going for work, there is the potential for traffic accidents especially on Old Keene Mill and Rolling Road. This Zone sees an increase in EMS activity at night as the work force returns home.
428|Fairfax County Fire and Rescue Department|404|38.87048|-77.15684|Seven Corners|2949 Sleepy Hollow Road|Falls Church|VA|22044|703-532-1451|11|FALSE|Urban|Fire Zone 428 is a mixed urban suburban zone with 3.38 square miles within the 4th Battalion that serves a population of 17,999. The zone consists of multiple mid-rise and high-rise residential and commercial buildings both sprinklered and un-sprinklered. Zone 428 operates on an automatic aid agreement with Arlington County on a daily basis. There are a large number of Type-III garden style apartments, and Type-V modern townhomes. Fire Zone 428 is bordered by Zone 410 to the east, 408 and 418 to the South and 418 to the west. Zone 428 is bordered by Arlington County to the northwest. Zone 428 has a large daytime transit population traveling through the 7-Corners intersection.|Numerous high rise buildings, commercial strip malls, garden apartments, and older single family homes.|The roadways that pass through the area are congested (not only with rush hour traffic), with vehicle and pedestrian traffic. The large volume of traffic and the unique topography of the area even with traffic signals and barriers to limit road crossings contribute to accidents. The area is congested with on street parking, narrowing roadways and constricting traffic.
429|Fairfax County Fire and Rescue Department|402|38.92935|-77.2394|Tysons Corner|1560 Spring Hill Road|McLean|VA|22102|703-893-0140|16|FALSE|Urban|Fire Zone 429 is an urban zone of 7.04 square miles with within the 2nd Battalion that serves a night-time population of 19,232. The area consists of high-rise buildings and a large number of garden style apartments of Type III and V construction Built from 1960- 1980. The high-rise buildings consist of residential and commercial, sprinklered and un[1]sprinklered. Tysons Corner has two super-regional shopping malls—Tysons Corner Center and Tysons Galleria—and the corporate headquarters of numerous companies such as Intelsat, Gannett (publisher of USA Today), Hilton Worldwide, Freddie Mac, Capital One and Booz Allen Hamilton. Tysons is Fairfax County''s central business district and a regional commercial center with over 45 million square feet of commercial space planned or operating currently. Tysons Corner is the 12th largest employment center in the United States and U.S. Census estimates the daytime population at over 100,000.|Mixed-use commercial occupancies reside along Leesburg Pike and Chain Bridge Road. The Rotunda, a 5 building complex with 10 story residential condominiums. Additionally, numerous garden style apartment complexes house a high population of this zone’s residents. Unique building construction features exist throughout this zone including bowstring truss roofs, trash chutes, storage areas as well as many vacant structures. The zone also includes a variety of limited access, large square footage private residential dwellings which exceed 5,000 square feet in residential living space. 45 Million square feet of commercial space operating or under development.|Vehicle accidents along the Interstate I-495, toll road, and Leesburg Pike have the potential to be high speed collisions. The increased residential population and urban street walking design leads to vehicle/pedestrian collisions. Daytime population increase calls for emergency medical assistance in residential high-rise buildings and commercial and retail outlets and two malls. Calls for service from Ty Spring Street and Sunrise Assisted Living retirement community account for many EMS incidents.
430|Fairfax County Fire and Rescue Department|402|38.87238|-77.24794|Merrifield|8739 Lee Highway|Fairfax|VA|22031|703-573-5321|12|FALSE|Urban|Fire Zone 430 is an urban zone of 6.19 square miles within the 2nd Battalion that serves a population of 38,607. The area consists of Type-III & V single-family, townhomes, and garden apartments. The INOVA medical research campus and Fairfax Hospital are within Zone 430. The zone also consists of high-rise buildings (residential and commercial) that are sprinkled and a large number of new mid-rise buildings that have commercial occupancies on the ground level with residential living above it.|The Propane Taxi has an evacuation distance of 2 miles in all directions in case of fire. The large nursing home (Virginian) has numerous life hazard risks. The large footprint mid-rise buildings present a challenge with apparatus positioning, access and the floor layout design. Numerous car repair locations along with marble repair, waste management facility, and large warehouses.|Vehicle accidents along I-66 and I-495 have potential for high speed collisions and limited entry and exit points on the interstate. The I-495 Hot lanes have high risk for vehicle accidents as several units are needed for scene protection due to numerous travel lanes that need to be protected. Calls for emergency medical assistance often occur in doctor offices or at the nursing homes. The Metro has potential for service due to 2 large Metro stations that are in Zone 430.
431|Fairfax County Fire and Rescue Department|401|38.92615|-77.37356|Fox Mill|2610 Reston Parkway|Herndon|VA|20171|703-860-2680|23|FALSE|Suburban|Demand Zone 431 is an urban zone of 11.42 square miles within the 1st Battalion that serves a population of 33,043. The area consists of single-family residence, Type III and V townhomes and garden-apartments, and a few residential and commercial high-rise buildings. The area is approximately 85/15 residential/commercial. Demand Zone 431 is bordered by 404, 415, 421, 425, 434, and 436.|The primary fire target hazards are all facility locations listed in this report. With numerous governmental agencies and locations with high occupancy loads the potential for major events exists.|Hunters Woods Fellowship House at 2231 Colts Neck Road; Reston Community Center; Al Faith Academy Muslim School Pinecrest;Kay School at 3005 Dower House all increase the number of requests for EMS services. Numerous lakes and ponds in Zone 431 pose year-round threats for water/ice rescues.
432|Fairfax County Fire and Rescue Department|407|38.79883|-77.32551|Fairview|5600 Burke Centre Parkway|Fairfax Station|VA|22039|703-250-8900|16|FALSE|Suburban/Rural|Fire Zone 432 is an urban/rural zone of 15.99 square miles within the 7th Battalion that serves a population of approximately 25,111. The zone consists of mixed use and mixed density commercial/residential units. There are a large number of Type-V garden style apartments, condos, townhouses, duplexes and single-family homes on the residential side and multiple strip shopping centers on the commercial side. Zone 432 also has a large area with no fire hydrants that require tankers for suppression operations.|Multiple strip shopping centers. Numerous Type-V garden apartment complexes. Large area of non-hydrant neighborhoods with large homes. Limited access to the Norfolk Southern Railway tracks. Urban/wildland interface.|High speed vehicle collisions along Route 286 (Fairfax County Parkway) through Zone 432. Train/pedestrian collisions along the Norfolk Southern Railway. Numerous lakes and ponds in Zone 432 pose year round threats for water/ice rescues.
